INFO: text_id: D2248   uid: cea7f48b8da745f6b45d4ac209e0be83
INFO: text_id: D2277   uid: 886470047283428685d413f68dbfeb6c
INFO: text_id: D2279   uid: bc3edd16a629438fb4bd957ee4bbf13f
INFO: text_id: D2313   uid: 1f7b5b334f7648f59b022ee158ee1cbb
INFO: text_id: D2314   uid: 98643b0d3c4942bf9ff787e8b983ae8f
INFO: text_id: D2315   uid: 85ea37fb1d32443c86f6306690dce2ad
INFO: text_id: D2316   uid: 5069e0529dac47e5a5e9a27cf0c44603
INFO: text_id: D2317   uid: 47730c52090b4aec95800ae7cc6fa6e1
INFO: text_id: D2318   uid: f2c9d1d24e4f42c5a01c0827f331ab4c
INFO: text_id: D2319   uid: 490a9519a45e45eb9193899ea1587ea2
INFO: text_id: D2320   uid: 553ef115979b40d1bc3c8604f09275db
INFO: text_id: D2321   uid: de7ffaa9aee245c988c492c912489a1f
INFO: text_id: D2322   uid: a2b9c7af53d148c4b848ffd3bd93b695
INFO: text_id: D2323   uid: e0af26bd28964b58a16a511fdc115472
INFO: text_id: D2324   uid: a17c6d9bf30e44b18b5b2700f071dd95
INFO: text_id: D2325   uid: a4788153e59c468eaaf5e6b497a7a669
INFO: text_id: D2326   uid: 5bbb8cb12c7d4fcba0fe9f49d68a544d
INFO: text_id: D2327   uid: 2d4f624d073c4b61ac51c602f749b78b
INFO: text_id: D2328   uid: d119efeebb8542ac824832b6081c40b5
INFO: text_id: D2341   uid: 6871f18b562a4a27b0d708325cf09975
INFO: text_id: D2373   uid: fe5cff3057694c91aa23001ac198faf0
INFO: text_id: D2382   uid: 071506ccb9a84674840b767b86bad4a3
INFO: text_id: D2444   uid: df9ef114bed44809be43f56c2cf7a16c
INFO: text_id: D2457   uid: 24569d817b544b858f7f4c46e34d2184
INFO: text_id: D2461   uid: c411e280dd2344b2bc5b776774435b7a
INFO: text_id: D2473   uid: 1d492929b2d547f1ad6912c6305bd0cd
INFO: text_id: D2481   uid: b28c759b72764841a755826a436ad9ea
INFO: text_id: D2482   uid: ab0e7b7e13f0420d8a16b97ca46e82ed
INFO: text_id: D2487   uid: df27fdec01724f50aa50bbb3b086f11e
INFO: text_id: D2496   uid: d46649f9d01442268677c2c4b610a4b2
INFO: text_id: D2508   uid: cd561afde9374c68b8a4e3c1fc2bd569
INFO: text_id: D2591   uid: 8024b0da1a27433282041b0487647816
INFO: text_id: D2637   uid: 1d6fd743a04149559f34099c72f7185f
INFO: text_id: D2640   uid: 399e6c6902b04880bf4618543d2229a0
INFO: text_id: D2653   uid: b2138bc4bc504b458f9e22103fff44c1
INFO: text_id: D2654   uid: 5a18ec6099964b1ab1c7d0160c836c9e
INFO: text_id: D2655   uid: 745d59e9f7324add8092a0280e802932
INFO: text_id: D2659   uid: 7d408b9d128b4de5af0fd5b40ace14e2
INFO: text_id: D2675   uid: cbac0ff8548c4159adc551fc2bf30a98
INFO: text_id: D2678   uid: 07712f0fca8a43f09e297b6c4d6ecdb9
INFO: text_id: D2694   uid: 7a006eef1e9c410c87acf2450ae4643a
INFO: text_id: D2701   uid: ee08c7341f9443f19aa59b5272abe7db
INFO: text_id: D2702   uid: 2601457ec2c942f8baad749f4e7f4840
INFO: text_id: D2712   uid: d863026823be40f38ac9ebe431f594e6
INFO: text_id: D2732   uid: 1ca989b6f7e6467ab95ebd7d9546a4f0
INFO: text_id: D2736   uid: 7a439b8db3944b88b65150703498da69
INFO: text_id: D2736a   uid: dc5465bc2f494c2dbcb531962c37d0a3
INFO: text_id: D2850   uid: 3251ef6194d0492d988b2e1c53ecac2d
INFO: text_id: D2866   uid: 988a166b41d94a7abd1b49b0887809ea
INFO: text_id: D2867   uid: e47e88d13d0b443b9e98c53b17ff9243
INFO: text_id: D2868   uid: c7568fd7d2344c2bb446ba6dabb86651
INFO: text_id: D2869   uid: f2c9cb8d949b4982a839ed319a26aa11
INFO: text_id: D2888   uid: a05bd211e2dc427da61548c548723123
INFO: text_id: D2889   uid: 3a0b4c1b3e7042a5bff1e8a5d6e5177e
INFO: text_id: D3052   uid: cb5fe18320844cc8a7c2725deb9950f7
INFO: text_id: D3053   uid: b9691ef040a54c87a904183a71956dcb
INFO: text_id: D3057   uid: 362d1014fdec4cbca49a0641839d5f2b
INFO: text_id: D3058   uid: cea7f19bcd794001adf72f99f1f6e616
INFO: text_id: D3060   uid: c3035abf1888478b984f6576986dcafb
INFO: text_id: D3067   uid: 7e1bf64f021e42ab9beb309889067c59
INFO: text_id: D3079   uid: 413fa0d96ccd4b6d8b60b9a7394fafa7
INFO: text_id: D3080   uid: e7cdeaf69801461aba4291747eacfefd
INFO: text_id: D3082   uid: 9ce268d05c364c9d81b7176360db9158
INFO: text_id: D3117   uid: 203655d4881240049a26d23b4e418d11
INFO: text_id: D3132   uid: 7780c6197632483f8ee15b21df94de37
INFO: text_id: D3133   uid: 10c4b24e711b40a6930ddebab51f72ef
INFO: text_id: D3193   uid: d5e0a85897fb4c9cb73c5d5a1d6c0c7e
INFO: text_id: D3194   uid: 612b296e33ce48358d7d183e1335ae6d
INFO: text_id: D3195   uid: a49daae81cf84fdbb7a4dd2cdb988d59
INFO: text_id: D3196   uid: e8f7ba636f0a4989ae8363927abf6dd2
